Received Log:

[Feb 16, 2023 09:48:38] ASCII:
13897 total fuel pulse 	1.37 s	63.411 mL/min	2 counter	2681 total water pulse	0.0 % water	36.0% fuel
13898 total fuel pulse 	1.37 s	63.550 mL/min	3 counter	2681 total water pulse	0.0 % water	54.0% fuel
13899 total fuel pulse 	1.37 s	63.457 mL/min	4 counter	2681 total water pulse	0.0 % water	72.0% fuel
13900 total fuel pulse 	1.37 s	63.690 mL/min	5 counter	2682 total water pulse	10.0 % water	90.0% fuel
13901 total fuel pulse 	1.70 s	51.207 mL/min	1 counter	2682 total water pulse	0.0 % water	18.0% fuel
13902 total fuel pulse 	1.29 s	67.652 mL/min	2 counter	2682 total water pulse	0.0 % water	36.0% fuel
13903 total fuel pulse 	1.25 s	69.544 mL/min	3 counter	2682 total water pulse	0.0 % water	54.0% fuel
13904 total fuel pulse 	1.21 s	71.782 mL/min	4 counter	2682 total water pulse	0.0 % water	72.0% fuel
13905 total fuel pulse 	1.22 s	71.487 mL/min	5 counter	2683 total water pulse	10.0 % water	90.0% fuel
13906 total fuel pulse 	1.56 s	55.698 mL/min	1 counter	2683 total water pulse	0.0 % water	18.0% fuel
13907 total fuel pulse 	1.22 s	71.253 mL/min	2 counter	2683 total water pulse	0.0 % water	36.0% fuel
13908 total fuel pulse 	1.26 s	69.268 mL/min	3 counter	2683 total water pulse	0.0 % water	54.0% fuel
13909 total fuel pulse 	1.29 s	67.547 mL/min	4 counter	2683 total water pulse	0.0 % water	72.0% fuel
13910 total fuel pulse 	1.29 s	67.390 mL/min	5 counter	2684 total water pulse	10.0 % water	90.0% fuel
13911 total fuel pulse 	1.82 s	47.907 mL/min	1 counter	2684 total water pulse	0.0 % water	18.0% fuel
13912 total fuel pulse 	1.70 s	51.207 mL/min	2 counter	2684 total water pulse	0.0 % water	36.0% fuel
13913 total fuel pulse 	1.75 s	49.629 mL/min	3 counter	2684 total water pulse	0.0 % water	54.0% fuel
13914 total fuel pulse 	1.73 s	50.231 mL/min	4 counter	2684 total water pulse	0.0 % water	72.0% fuel
13915 total fuel pulse 	1.65 s	52.823 mL/min	5 counter	2685 total water pulse	10.0 % water	90.0% fuel
13916 total fuel pulse 	1.90 s	45.862 mL/min	1 counter	2685 total water pulse	0.0 % water	18.0% fuel
13917 total fuel pulse 	1.46 s	59.508 mL/min	2 counter	2685 total water pulse	0.0 % water	36.0% fuel
13918 total fuel pulse 	1.40 s	62.232 mL/min	3 counter	2685 total water pulse	0.0 % water	54.0% fuel
13919 total fuel pulse 	1.38 s	62.998 mL/min	4 counter	2685 total water pulse	0.0 % water	72.0% fuel
13920 total fuel pulse 	1.32 s	66.009 mL/min	5 counter	2686 total water pulse	10.0 % water	90.0% fuel
13921 total fuel pulse 	1.55 s	56.129 mL/min	1 counter	2686 total water pulse	0.0 % water	18.0% fuel
13922 total fuel pulse 	1.34 s	64.877 mL/min	2 counter	2686 total water pulse	0.0 % water	36.0% fuel
13923 total fuel pulse 	1.39 s	62.545 mL/min	3 counter	2686 total water pulse	0.0 % water	54.0% fuel
13924 total fuel pulse 	1.46 s	59.426 mL/min	4 counter	2686 total water pulse	0.0 % water	72.0% fuel
13925 total fuel pulse 	1.57 s	55.520 mL/min	5 counter	2687 total water pulse	10.0 % water	90.0% fuel
13926 total fuel pulse 	2.32 s	37.452 mL/min	1 counter	2687 total water pulse	0.0 % water	18.0% fuel
13927 total fuel pulse 	2.00 s	43.435 mL/min	2 counter	2687 total water pulse	0.0 % water	36.0% fuel
13928 total fuel pulse 	2.21 s	39.313 mL/min	3 counter	2687 total water pulse	0.0 % water	54.0% fuel
13929 total fuel pulse 	2.47 s	35.208 mL/min	4 counter	2687 total water pulse	0.0 % water	72.0% fuel
13930 total fuel pulse 	2.20 s	39.545 mL/min	5 counter	2688 total water pulse	10.0 % water	90.0% fuel
13931 total fuel pulse 	2.39 s	36.447 mL/min	1 counter	2688 total water pulse	0.0 % water	18.0% fuel
13932 total fuel pulse 	1.66 s	52.315 mL/min	2 counter	2688 total water pulse	0.0 % water	36.0% fuel
13933 total fuel pulse 	1.60 s	54.375 mL/min	3 counter	2688 total water pulse	0.0 % water	54.0% fuel
13934 total fuel pulse 	1.51 s	57.540 mL/min	4 counter	2688 total water pulse	0.0 % water	72.0% fuel
13935 total fuel pulse 	1.47 s	59.103 mL/min	5 counter	2689 total water pulse	10.0 % water	90.0% fuel
13936 total fuel pulse 	1.87 s	46.649 mL/min	1 counter	2689 total water pulse	0.0 % water	18.0% fuel
13937 total fuel pulse 	1.42 s	61.224 mL/min	2 counter	2689 total water pulse	0.0 % water	36.0% fuel
13938 total fuel pulse 	1.33 s	65.364 mL/min	3 counter	2689 total water pulse	0.0 % water	54.0% fuel
13939 total fuel pulse 	1.26 s	69.048 mL/min	4 counter	2689 total water pulse	0.0 % water	72.0% fuel
13940 total fuel pulse 	1.22 s	71.605 mL/min	5 counter	2690 total water pulse	10.0 % water	90.0% fuel
13941 total fuel pulse 	1.45 s	59.876 mL/min	1 counter	2690 total water pulse	0.0 % water	18.0% fuel
13942 total fuel pulse 	1.13 s	76.923 mL/min	2 counter	2690 total water pulse	0.0 % water	36.0% fuel
13943 total fuel pulse 	1.11 s	78.662 mL/min	3 counter	2690 total water pulse	0.0 % water	54.0% fuel
13944 total fuel pulse 	1.11 s	78.662 mL/min	4 counter	2690 total water pulse	0.0 % water	72.0% fuel
13945 total fuel pulse 	1.10 s	79.452 mL/min	5 counter	2691 total water pulse	10.0 % water	90.0% fuel
13946 total fuel pulse 	1.32 s	65.859 mL/min	1 counter	2691 total water pulse	0.0 % water	18.0% fuel
13947 total fuel pulse 	0.92 s	94.978 mL/min	2 counter	2691 total water pulse	0.0 % water	36.0% fuel
13948 total fuel pulse 	0.95 s	91.387 mL/min	3 counter	2691 total water pulse	0.0 % water	54.0% fuel
13949 total fuel pulse 	0.92 s	94.360 mL/min	4 counter	2691 total water pulse	0.0 % water	72.0% fuel
13950 total fuel pulse 	0.93 s	93.548 mL/min	5 counter	2692 total water pulse	10.0 % water	90.0% fuel
13951 total fuel pulse 	0.23 s	375.000 mL/min	1 counter	2692 total water pulse	0.0 % water	18.0% fuel
13952 total fuel pulse 	1.07 s	81.232 mL/min	2 counter	2692 total water pulse	0.0 % water	36.0% fuel
13953 total fuel pulse 	1.02 s	85.378 mL/min	3 counter	2692 total water pulse	0.0 % water	54.0% fuel
13954 total fuel pulse 	1.09 s	79.670 mL/min	4 counter	2692 total water pulse	0.0 % water	72.0% fuel
13955 total fuel pulse 	1.14 s	75.983 mL/min	5 counter	2693 total water pulse	10.0 % water	90.0% fuel
13956 total fuel pulse 	1.52 s	57.275 mL/min	1 counter	2693 total water pulse	0.0 % water	18.0% fuel
13957 total fuel pulse 	1.22 s	71.546 mL/min	2 counter	2693 total water pulse	0.0 % water	36.0% fuel
13958 total fuel pulse 	1.29 s	67.285 mL/min	3 counter	2693 total water pulse	0.0 % water	54.0% fuel
13959 total fuel pulse 	1.37 s	63.319 mL/min	4 counter	2693 total water pulse	0.0 % water	72.0% fuel
13960 total fuel pulse 	1.49 s	58.546 mL/min	5 counter	2694 total water pulse	10.0 % water	90.0% fuel
13961 total fuel pulse 	2.05 s	42.398 mL/min	1 counter	2694 total water pulse	0.0 % water	18.0% fuel
13962 total fuel pulse 	1.81 s	47.960 mL/min	2 counter	2694 total water pulse	0.0 % water	36.0% fuel
13963 total fuel pulse 	1.97 s	44.073 mL/min	3 counter	2694 total water pulse	0.0 % water	54.0% fuel
13964 total fuel pulse 	2.22 s	39.260 mL/min	4 counter	2694 total water pulse	0.0 % water	72.0% fuel
13965 total fuel pulse 	2.39 s	36.371 mL/min	5 counter	2695 total water pulse	10.0 % water	90.0% fuel
13966 total fuel pulse 	2.93 s	29.673 mL/min	1 counter	2695 total water pulse	0.0 % water	18.0% fuel
13967 total fuel pulse 	2.56 s	33.998 mL/min	2 counter	2695 total water pulse	0.0 % water	36.0% fuel
13968 total fuel pulse 	2.27 s	38.292 mL/min	3 counter	2695 total water pulse	0.0 % water	54.0% fuel
13969 total fuel pulse 	2.03 s	42.942 mL/min	4 counter	2695 total water pulse	0.0 % water	72.0% fuel
13970 total fuel pulse 	1.93 s	45.124 mL/min	5 counter	2696 total water pulse	10.0 % water	90.0% fuel
13971 total fuel pulse 	2.31 s	37.744 mL/min	1 counter	2696 total water pulse	0.0 % water	18.0% fuel
13972 total fuel pulse 	1.87 s	46.649 mL/min	2 counter	2696 total water pulse	0.0 % water	36.0% fuel
13973 total fuel pulse 	1.90 s	45.886 mL/min	3 counter	2696 total water pulse	0.0 % water	54.0% fuel
13974 total fuel pulse 	1.83 s	47.489 mL/min	4 counter	2696 total water pulse	0.0 % water	72.0% fuel
13975 total fuel pulse 	1.75 s	49.743 mL/min	5 counter	2697 total water pulse	10.0 % water	90.0% fuel
13976 total fuel pulse 	0.16 s	561.290 mL/min	1 counter	2697 total water pulse	0.0 % water	18.0% fuel
13977 total fuel pulse 	2.11 s	41.193 mL/min	2 counter	2697 total water pulse	0.0 % water	36.0% fuel
13978 total fuel pulse 	1.84 s	47.231 mL/min	3 counter	2697 total water pulse	0.0 % water	54.0% fuel
13979 total fuel pulse 	1.78 s	48.822 mL/min	4 counter	2697 total water pulse	0.0 % water	72.0% fuel
13980 total fuel pulse 	1.67 s	52.002 mL/min	5 counter	2698 total water pulse	10.0 % water	90.0% fuel
13981 total fuel pulse 	2.06 s	42.172 mL/min	1 counter	2698 total water pulse	0.0 % water	18.0% fuel
13982 total fuel pulse 	1.41 s	61.834 mL/min	2 counter	2698 total water pulse	0.0 % water	36.0% fuel
13983 total fuel pulse 	1.32 s	66.109 mL/min	3 counter	2698 total water pulse	0.0 % water	54.0% fuel
13984 total fuel pulse 	1.24 s	70.331 mL/min	4 counter	2698 total water pulse	0.0 % water	72.0% fuel
13985 total fuel pulse 	1.16 s	75.065 mL/min	5 counter	2699 total water pulse	10.0 % water	90.0% fuel
13986 total fuel pulse 	1.42 s	61.354 mL/min	1 counter	2699 total water pulse	0.0 % water	18.0% fuel
13987 total fuel pulse 	1.05 s	82.543 mL/min	2 counter	2699 total water pulse	0.0 % water	36.0% fuel
13988 total fuel pulse 	1.06 s	82.153 mL/min	3 counter	2699 total water pulse	0.0 % water	54.0% fuel
13989 total fuel pulse 	1.00 s	86.567 mL/min	4 counter	2699 total water pulse	0.0 % water	72.0% fuel
13990 total fuel pulse 	1.00 s	86.913 mL/min	5 counter	2700 total water pulse	10.0 % water	90.0% fuel
13991 total fuel pulse 	1.25 s	69.656 mL/min	1 counter	2700 total water pulse	0.0 % water	18.0% fuel
13992 total fuel pulse 	0.97 s	89.414 mL/min	2 counter	2700 total water pulse	0.0 % water	36.0% fuel
13993 total fuel pulse 	1.20 s	72.440 mL/min	3 counter	2700 total water pulse	0.0 % water	54.0% fuel
13994 total fuel pulse 	1.18 s	73.980 mL/min	4 counter	2700 total water pulse	0.0 % water	72.0% fuel
13995 total fuel pulse 	1.26 s	69.212 mL/min	5 counter	2701 total water pulse	10.0 % water	90.0% fuel
13996 total fuel pulse 	1.60 s	54.409 mL/min	1 counter	2701 total water pulse	0.0 % water	18.0% fuel
13997 total fuel pulse 	1.32 s	66.109 mL/min	2 counter	2701 total water pulse	0.0 % water	36.0% fuel
13998 total fuel pulse 	1.33 s	65.414 mL/min	3 counter	2701 total water pulse	0.0 % water	54.0% fuel
13999 total fuel pulse 	1.34 s	64.829 mL/min	4 counter	2701 total water pulse	0.0 % water	72.0% fuel
14000 total fuel pulse 	1.34 s	65.169 mL/min	5 counter	2702 total water pulse	10.0 % water	90.0% fuel
14001 total fuel pulse 	1.61 s	53.937 mL/min	1 counter	2702 total water pulse	0.0 % water	18.0% fuel
14002 total fuel pulse 	1.30 s	66.667 mL/min	2 counter	2702 total water pulse	0.0 % water	36.0% fuel
14003 total fuel pulse 	1.30 s	66.872 mL/min	3 counter	2702 total water pulse	0.0 % water	54.0% fuel
14004 total fuel pulse 	1.17 s	74.614 mL/min	4 counter	2702 total water pulse	0.0 % water	72.0% fuel
14005 total fuel pulse 	1.15 s	75.652 mL/min	5 counter	2703 total water pulse	10.0 % water	90.0% fuel
14006 total fuel pulse 	1.50 s	57.846 mL/min	1 counter	2703 total water pulse	0.0 % water	18.0% fuel
14007 total fuel pulse 	1.15 s	75.455 mL/min	2 counter	2703 total water pulse	0.0 % water	36.0% fuel
14008 total fuel pulse 	1.18 s	73.604 mL/min	3 counter	2703 total water pulse	0.0 % water	54.0% fuel
14009 total fuel pulse 	1.20 s	72.319 mL/min	4 counter	2703 total water pulse	0.0 % water	72.0% fuel
14010 total fuel pulse 	1.21 s	71.723 mL/min	5 counter	2704 total water pulse	10.0 % water	90.0% fuel
14011 total fuel pulse 	1.59 s	54.580 mL/min	1 counter	2704 total water pulse	0.0 % water	18.0% fuel
14012 total fuel pulse 	1.32 s	65.959 mL/min	2 counter	2704 total water pulse	0.0 % water	36.0% fuel
14013 total fuel pulse 	1.33 s	65.512 mL/min	3 counter	2704 total water pulse	0.0 % water	54.0% fuel
14014 total fuel pulse 	1.37 s	63.504 mL/min	4 counter	2704 total water pulse	0.0 % water	72.0% fuel
9:55 AM
14015 total fuel pulse 	1.44 s	60.585 mL/min	5 counter	2705 total water pulse	10.0 % water	90.0% fuel
14016 total fuel pulse 	1.90 s	45.862 mL/min	1 counter	2705 total water pulse	0.0 % water	18.0% fuel
14017 total fuel pulse 	1.56 s	55.662 mL/min	2 counter	2705 total water pulse	0.0 % water	36.0% fuel
14018 total fuel pulse 	1.61 s	54.172 mL/min	3 counter	2705 total water pulse	0.0 % water	54.0% fuel
14019 total fuel pulse 	1.59 s	54.786 mL/min	4 counter	2705 total water pulse	0.0 % water	72.0% fuel
14020 total fuel pulse 	1.58 s	55.133 mL/min	5 counter	2706 total water pulse	10.0 % water	90.0% fuel
14021 total fuel pulse 	1.91 s	45.478 mL/min	1 counter	2706 total water pulse	0.0 % water	18.0% fuel
14022 total fuel pulse 	1.57 s	55.449 mL/min	2 counter	2706 total water pulse	0.0 % water	36.0% fuel
14023 total fuel pulse 	1.70 s	51.176 mL/min	3 counter	2706 total water pulse	0.0 % water	54.0% fuel
14024 total fuel pulse 	1.67 s	52.190 mL/min	4 counter	2706 total water pulse	0.0 % water	72.0% fuel
14025 total fuel pulse 	1.64 s	53.016 mL/min	5 counter	2707 total water pulse	10.0 % water	90.0% fuel
14026 total fuel pulse 	1.97 s	44.207 mL/min	1 counter	2707 total water pulse	0.0 % water	18.0% fuel
14027 total fuel pulse 	1.64 s	52.920 mL/min	2 counter	2707 total water pulse	0.0 % water	36.0% fuel
14028 total fuel pulse 	1.70 s	51.086 mL/min	3 counter	2707 total water pulse	0.0 % water	54.0% fuel
14029 total fuel pulse 	1.73 s	50.435 mL/min	4 counter	2707 total water pulse	0.0 % water	72.0% fuel
14030 total fuel pulse 	1.76 s	49.320 mL/min	5 counter	2708 total water pulse	10.0 % water	90.0% fuel
14031 total fuel pulse 	2.15 s	40.409 mL/min	1 counter	2708 total water pulse	0.0 % water	18.0% fuel
14032 total fuel pulse 	1.54 s	5/min	2 counter	2708 total water pulse	0.0 % water	36.0% fuel
14033 total fuel pulse 	1.56 s	55.805 mL/min	3 counter	2708 total water pulse	0.0 % water	54.0% fuel
14034 total fuel pulse 	1.61 s	54.071 mL/min	4 counter	2708 total water pulse	0.0 % water	72.0% fuel
14035 total fuel pulse 	1.65 s	52.632 mL/min	5 counter	2709 total water pulse	10.0 % water	90.0% fuel
14036 total fuel pulse 	2.06 s	42.315 mL/min	1 counter	2709 total water pulse	0.0 % water	18.0% fuel
